timestamp,open,high,low,close,volume
2020-01-01T00:00:00+00:00,180.000000,181.963489,178.199965,180.163454,859.1075
2020-01-01T01:00:00+00:00,180.163454,182.000231,179.789932,181.626709,1352.1487
2020-01-01T02:00:00+00:00,181.626709,184.664685,181.397806,184.435782,1758.8053
2020-01-01T03:00:00+00:00,184.435782,187.205780,182.773124,185.543123,1293.1307
2020-01-01T04:00:00+00:00,185.543123,187.891272,184.097780,186.445929,1169.3394
2020-01-01T05:00:00+00:00,186.445929,188.433119,183.834261,185.821451,866.0472
2020-01-01T06:00:00+00:00,185.821451,186.176226,183.091340,183.446115,1608.7800
2020-01-01T07:00:00+00:00,183.446115,183.547564,182.902598,183.004047,853.5180
2020-01-01T08:00:00+00:00,183.004047,183.352631,182.566596,182.915180,1174.4945
2020-01-01T09:00:00+00:00,182.915180,183.500320,181.123181,181.708321,927.9535
2020-01-01T10:00:00+00:00,181.708321,184.901577,177.811548,181.004804,910.0826
2020-01-01T11:00:00+00:00,181.004804,185.822320,177.816761,182.634276,1607.8169
2020-01-01T12:00:00+00:00,182.634276,183.597806,182.177926,183.141456,1230.5273
2020-01-01T13:00:00+00:00,183.141456,185.475158,181.609776,183.943478,1172.4105
2020-01-01T14:00:00+00:00,183.943478,184.833199,182.211802,183.101523,1032.0996
2020-01-01T15:00:00+00:00,183.101523,184.252512,181.912200,183.063188,1224.1881
2020-01-01T16:00:00+00:00,183.063188,184.664983,178.771037,180.372832,1549.6346
2020-01-01T17:00:00+00:00,180.372832,183.117787,174.659661,177.404616,1347.9776
2020-01-01T18:00:00+00:00,177.404616,178.150016,176.284169,177.029569,1436.9995
2020-01-01T19:00:00+00:00,177.029569,178.547539,172.748131,174.266101,1640.3838
2020-01-01T20:00:00+00:00,174.266101,175.201519,173.140523,174.075941,1182.6849
2020-01-01T21:00:00+00:00,174.075941,174.185816,172.414842,172.524717,1518.2398
2020-01-01T22:00:00+00:00,172.524717,178.429450,169.204957,175.109690,2048.6280
2020-01-01T23:00:00+00:00,175.109690,177.146785,174.432242,176.469337,1447.7137
2020-01-02T00:00:00+00:00,176.469337,178.794114,173.514276,175.839053,1220.8195
2020-01-02T01:00:00+00:00,175.839053,176.159871,175.241604,175.562422,1038.7470
2020-01-02T02:00:00+00:00,175.562422,176.796953,174.106305,175.340836,1474.8152
2020-01-02T03:00:00+00:00,175.340836,180.398721,167.648640,172.706526,1732.3273
2020-01-02T04:00:00+00:00,172.706526,173.221100,172.015446,172.530020,1010.2248
2020-01-02T05:00:00+00:00,172.530020,172.988737,171.892839,172.351555,1245.4298
2020-01-02T06:00:00+00:00,172.351555,172.865602,171.246700,171.760747,1559.7956
